Product Name,Raw Material (kg CO2),Production (kg CO2),Logistics (kg CO2),Total Carbon Footprint (kg CO2)
Sano Maxima Laundry Detergent,50,30,20,100
Sano Floor Cleaner,52,31.5,21,104.5
Sano Dishwasher Tablets,54,33,22,109
Sano Anti-Lime Scale,56,34.5,23,113.5
Sano Toilet Cleaner,58,36,24,118
Sano Stain Remover,60,37.5,25,122.5
Sano Air Freshener,62,39,26,127
Sano Oven Cleaner,64,40.5,27,131.5
Sano Multi-Surface Cleaner,66,42,28,136
Sano Glass Cleaner,68,43.5,29,140.5
Sano Fabric Softener,70,45,30,145
Sano Dishwashing Liquid,72,46.5,31,149.5
Sano Anti-Bacterial Spray,74,48,32,154
Sano Carpet Cleaner,76,49.5,33,158.5
Sano Shower Cleaner,78,51,34,163
Sano Wet Wipes,80,52.5,35,167.5
Sano Grease Cutter,82,54,36,172
Sano Baby Fabric Softener,84,55.5,37,176.5
Sano Pet Odor Eliminator,86,57,38,181
Sano Active Gel Cleaner,88,58.5,39,185.5
